index,model,dataset,horizon,seed,epochs,batch_size
478,TimeMixer,ETTm2,720,3407,10,32
479,TimeMixer,ETTm2,720,3408,10,32
480,TimeMixer,ETTm2,720,3409,10,32
481,TimeMixer,Weather,96,3407,10,32
482,TimeMixer,Weather,96,3408,10,32
483,TimeMixer,Weather,96,3409,10,32
484,TimeMixer,Weather,192,3407,10,32
485,TimeMixer,Weather,192,3408,10,32
486,TimeMixer,Weather,192,3409,10,32
487,TimeMixer,Weather,336,3407,10,32
488,TimeMixer,Weather,336,3408,10,32
489,TimeMixer,Weather,336,3409,10,32
490,TimeMixer,Weather,720,3407,10,32
491,TimeMixer,Weather,720,3408,10,32
492,TimeMixer,Weather,720,3409,10,32
493,TimeMixer,Electricity,96,3407,10,16
494,TimeMixer,Electricity,96,3408,10,16
495,TimeMixer,Electricity,96,3409,10,16
496,TimeMixer,Electricity,192,3407,10,16
497,TimeMixer,Electricity,192,3408,10,16
498,TimeMixer,Electricity,192,3409,10,16
499,TimeMixer,Electricity,336,3407,10,16
500,TimeMixer,Electricity,336,3408,10,16
501,TimeMixer,Electricity,336,3409,10,16
502,TimeMixer,Electricity,720,3407,10,16
503,TimeMixer,Electricity,720,3408,10,16
504,TimeMixer,Electricity,720,3409,10,16
505,TimeMixer,ILI,24,3407,10,32
506,TimeMixer,ILI,24,3408,10,32
507,TimeMixer,ILI,24,3409,10,32
508,TimeMixer,ILI,36,3407,10,32
509,TimeMixer,ILI,36,3408,10,32
510,TimeMixer,ILI,36,3409,10,32
511,TimeMixer,ILI,48,3407,10,32
512,TimeMixer,ILI,48,3408,10,32
513,TimeMixer,ILI,48,3409,10,32
514,TimeMixer,ILI,60,3407,10,32
515,TimeMixer,ILI,60,3408,10,32
516,TimeMixer,ILI,60,3409,10,32
517,TimeMixer,ExchangeRate,96,3407,10,32
518,TimeMixer,ExchangeRate,96,3408,10,32
519,TimeMixer,ExchangeRate,96,3409,10,32
520,TimeMixer,ExchangeRate,192,3407,10,32
521,TimeMixer,ExchangeRate,192,3408,10,32
522,TimeMixer,ExchangeRate,192,3409,10,32
523,TimeMixer,ExchangeRate,336,3407,10,32
524,TimeMixer,ExchangeRate,336,3408,10,32
525,TimeMixer,ExchangeRate,336,3409,10,32
526,TimeMixer,ExchangeRate,720,3407,10,32
527,TimeMixer,ExchangeRate,720,3408,10,32
528,TimeMixer,ExchangeRate,720,3409,10,32
529,TimeMixer,Traffic,96,3407,10,8
530,TimeMixer,Traffic,96,3408,10,8
531,TimeMixer,Traffic,96,3409,10,8
532,TimeMixer,Traffic,192,3407,10,8
533,TimeMixer,Traffic,192,3408,10,8
534,TimeMixer,Traffic,192,3409,10,8
535,TimeMixer,Traffic,336,3407,10,8
536,TimeMixer,Traffic,336,3408,10,8
537,TimeMixer,Traffic,336,3409,10,8
538,TimeMixer,Traffic,720,3407,10,8
539,TimeMixer,Traffic,720,3408,10,8
540,TimeMixer,Traffic,720,3409,10,8
541,WPMixer,ETTh1,96,3407,10,64
542,WPMixer,ETTh1,96,3408,10,64
543,WPMixer,ETTh1,96,3409,10,64
544,WPMixer,ETTh1,192,3407,10,64
545,WPMixer,ETTh1,192,3408,10,64
546,WPMixer,ETTh1,192,3409,10,64
547,WPMixer,ETTh1,336,3407,10,64
548,WPMixer,ETTh1,336,3408,10,64
549,WPMixer,ETTh1,336,3409,10,64
550,WPMixer,ETTh1,720,3407,10,64
551,WPMixer,ETTh1,720,3408,10,64
552,WPMixer,ETTh1,720,3409,10,64
553,WPMixer,ETTh2,96,3407,10,64
554,WPMixer,ETTh2,96,3408,10,64
555,WPMixer,ETTh2,96,3409,10,64
556,WPMixer,ETTh2,192,3407,10,64
557,WPMixer,ETTh2,192,3408,10,64
558,WPMixer,ETTh2,192,3409,10,64
559,WPMixer,ETTh2,336,3407,10,64
560,WPMixer,ETTh2,336,3408,10,64
561,WPMixer,ETTh2,336,3409,10,64
562,WPMixer,ETTh2,720,3407,10,64
563,WPMixer,ETTh2,720,3408,10,64
564,WPMixer,ETTh2,720,3409,10,64
565,WPMixer,ETTm1,96,3407,10,64
566,WPMixer,ETTm1,96,3408,10,64
567,WPMixer,ETTm1,96,3409,10,64
568,WPMixer,ETTm1,192,3407,10,64
569,WPMixer,ETTm1,192,3408,10,64
570,WPMixer,ETTm1,192,3409,10,64
571,WPMixer,ETTm1,336,3407,10,64
572,WPMixer,ETTm1,336,3408,10,64
573,WPMixer,ETTm1,336,3409,10,64
574,WPMixer,ETTm1,720,3407,10,64
575,WPMixer,ETTm1,720,3408,10,64
576,WPMixer,ETTm1,720,3409,10,64
577,WPMixer,ETTm2,96,3407,10,64
578,WPMixer,ETTm2,96,3408,10,64
579,WPMixer,ETTm2,96,3409,10,64
580,WPMixer,ETTm2,192,3407,10,64
581,WPMixer,ETTm2,192,3408,10,64
582,WPMixer,ETTm2,192,3409,10,64
583,WPMixer,ETTm2,336,3407,10,64
584,WPMixer,ETTm2,336,3408,10,64
585,WPMixer,ETTm2,336,3409,10,64
586,WPMixer,ETTm2,720,3407,10,64
587,WPMixer,ETTm2,720,3408,10,64
588,WPMixer,ETTm2,720,3409,10,64
589,WPMixer,Weather,96,3407,10,64
590,WPMixer,Weather,96,3408,10,64
591,WPMixer,Weather,96,3409,10,64
592,WPMixer,Weather,192,3407,10,64
593,WPMixer,Weather,192,3408,10,64
594,WPMixer,Weather,192,3409,10,64
