axis,dataset,model,horizon,segment,window_start,best_depth,selected_loss,optimal_loss,relative_tolerance,profiled_channels,U_mean,U_p10,U_p90,M_mean,M_p10,M_p90,seeds,local_units,window_index,relative_time,best_width_group,best_width,best_d_model,best_d_ff
width,ETTh1,PatchTST,96,test,2880,,0.2532625710714286,0.2532625710714286,0.0,7,0.5946334959140724,0.5446708459557379,0.6445969437409155,0.525622843363449,0.39809063746232276,0.6484700050897342,1,7,120,0.851063829787234,16.0,64.0,64.0,512.0
width,ETTh1,PatchTST,96,test,2904,,0.26080800942857146,0.26080800942857146,0.0,7,0.3321561865168357,0.2323684706145251,0.4914488758869346,0.5512656255742281,0.459326949742057,0.6606602229416924,1,7,121,0.8581560283687943,16.0,64.0,64.0,512.0
width,ETTh1,PatchTST,96,test,2928,,0.1887433227142857,0.1887433227142857,0.0,7,0.539616183273658,0.4624023727173349,0.6286502582392567,0.5698412985892363,0.4636710026975997,0.7290437386133916,1,7,122,0.8652482269503546,16.0,64.0,64.0,512.0
width,ETTh1,PatchTST,96,test,2952,,0.2097549762857143,0.2097549762857143,0.0,7,0.31708849539738976,0.2556038728838332,0.39570482707745247,0.5210137900198043,0.38871229433316024,0.6901362216828312,1,7,123,0.8723404255319149,2.0,8.0,8.0,64.0
width,ETTh1,PatchTST,96,test,2976,,0.2701198441428571,0.2701198441428571,0.0,7,0.2975619243966664,0.23783070884547264,0.3573448531216025,0.4871711376117983,0.377222438326436,0.6322627782968117,1,7,124,0.8794326241134752,16.0,64.0,64.0,512.0
width,ETTh1,PatchTST,96,test,3000,,0.36204580914285717,0.36204580914285717,0.0,7,0.2884006044887001,0.23321368876208098,0.3397676180341684,0.47089903960293084,0.35604728642167793,0.6136767120802071,1,7,125,0.8865248226950354,1.0,4.0,4.0,32.0
width,ETTh1,PatchTST,96,test,3024,,0.3231187031428572,0.3231187031428572,0.0,7,0.24372922872318123,0.12357627504301796,0.3473182795563915,0.46558433581261305,0.3513762139827969,0.5676796792321106,1,7,126,0.8936170212765957,1.0,4.0,4.0,32.0
width,ETTh1,PatchTST,96,test,3048,,0.30757913285714283,0.30757913285714283,0.0,7,0.29069856573034575,0.2487251298787043,0.3327542257590261,0.5139172683694216,0.3950526629896364,0.6091648766784855,1,7,127,0.900709219858156,2.0,8.0,8.0,64.0
width,ETTh1,PatchTST,96,test,3072,,0.41637713285714284,0.41637713285714284,0.0,7,0.3466425632984543,0.23869164317969038,0.4500599854907685,0.537539979298386,0.4070873100553737,0.6747627728907615,1,7,128,0.9078014184397163,8.0,32.0,32.0,256.0
width,ETTh1,PatchTST,96,test,3096,,0.3439418735714286,0.3439418735714286,0.0,7,0.39683695923263823,0.2726304760275316,0.5449636367668441,0.4752162296636141,0.4074048761724829,0.5480554312229887,1,7,129,0.9148936170212766,16.0,64.0,64.0,512.0
