channel,u_change,u_spectral,u_surprise,m_peak,m_band,channel_effective_rank,m_channel,U,M,dataset,segment,sample_index,window_start,unit_id,loss_mae,loss_mse,model,seed,axis,depth,width_group,width,coupled_width,horizon,run_id
5,0.35378454997452913,0.22410762544789686,0.49059498947599534,0.125,0.8471839050012899,1.9812722555906916,0.16354537565920632,0.3561623882994738,0.3785764268868321,ETTh1,test,72,72,test:72:5,0.17878239,0.04614307,MultiPatchFormer,3407,depth,1,4,256,256,96,MultiPatchFormer__ETTh1__h96__depth__d1__wg4__s3407
6,0.6391124532130318,0.12095884082984035,0.41560751013780084,0.25,0.930831131623188,1.9812722555906916,0.16354537565920632,0.39189293472689096,0.4481255024274647,ETTh1,test,72,72,test:72:6,0.11884179,0.020275796,MultiPatchFormer,3407,depth,1,4,256,256,96,MultiPatchFormer__ETTh1__h96__depth__d1__wg4__s3407
0,0.25365733134721924,0.01945606653509312,0.48064560752060015,0.25,0.551998871701468,2.3596640068826216,0.22661066743608582,0.2512530018009708,0.3428698463791846,ETTh1,test,96,96,test:96:0,0.4251386,0.3137207,MultiPatchFormer,3407,depth,1,4,256,256,96,MultiPatchFormer__ETTh1__h96__depth__d1__wg4__s3407
1,0.4504199757688273,0.2331836996807301,0.6975631964016394,1.0,0.8925659645090828,2.3596640068826216,0.22661066743608582,0.4603889572837323,0.7063922106483895,ETTh1,test,96,96,test:96:1,0.42538285,0.2610065,MultiPatchFormer,3407,depth,1,4,256,256,96,MultiPatchFormer__ETTh1__h96__depth__d1__wg4__s3407
2,0.4282212958795347,0.017910686816365713,0.48003949887402064,0.25,0.5198790800243968,2.3596640068826216,0.22661066743608582,0.3087238271899737,0.3321632491534942,ETTh1,test,96,96,test:96:2,0.39915505,0.30204964,MultiPatchFormer,3407,depth,1,4,256,256,96,MultiPatchFormer__ETTh1__h96__depth__d1__wg4__s3407
3,0.4644901639172144,0.26739498252970767,0.7216194777112718,0.875,0.8877987784533931,2.3596640068826216,0.22661066743608582,0.48450154138606455,0.6631364819631597,ETTh1,test,96,96,test:96:3,0.3239819,0.14561456,MultiPatchFormer,3407,depth,1,4,256,256,96,MultiPatchFormer__ETTh1__h96__depth__d1__wg4__s3407
4,0.1593781146989921,0.029317623425784065,0.48106927169837527,0.25,0.578957991845855,2.3596640068826216,0.22661066743608582,0.22325500327438383,0.3518562197606469,ETTh1,test,96,96,test:96:4,0.2841213,0.12054046,MultiPatchFormer,3407,depth,1,4,256,256,96,MultiPatchFormer__ETTh1__h96__depth__d1__wg4__s3407
5,0.3321168495061325,0.07637115322492538,0.34520972630975233,0.25,0.7213070207934048,2.3596640068826216,0.22661066743608582,0.25123257634693674,0.39930589607649686,ETTh1,test,96,96,test:96:5,0.2638348,0.095083244,MultiPatchFormer,3407,depth,1,4,256,256,96,MultiPatchFormer__ETTh1__h96__depth__d1__wg4__s3407
6,0.28502448673921643,0.12494317071347141,0.4396772099542562,0.125,0.7796296432212099,2.3596640068826216,0.22661066743608582,0.28321495580231465,0.3770801035524319,ETTh1,test,96,96,test:96:6,0.103878476,0.014820102,MultiPatchFormer,3407,depth,1,4,256,256,96,MultiPatchFormer__ETTh1__h96__depth__d1__wg4__s3407
0,0.26528901821470074,0.015317368896393218,0.26866311115086117,0.25,0.5256389912534232,2.4680635823736687,0.24467726332114936,0.18308983275398505,0.3401054181915242,ETTh1,test,120,120,test:120:0,0.5387595,0.54824215,MultiPatchFormer,3407,depth,1,4,256,256,96,MultiPatchFormer__ETTh1__h96__depth__d1__wg4__s3407
1,0.28533530102208315,0.2874993132103577,0.5294242230945218,1.0,0.9243648217844661,2.4680635823736687,0.24467726332114936,0.36741961244232085,0.7230140283685383,ETTh1,test,120,120,test:120:1,0.48482296,0.31023145,MultiPatchFormer,3407,depth,1,4,256,256,96,MultiPatchFormer__ETTh1__h96__depth__d1__wg4__s3407
2,0.2884446816530969,0.014742947608370383,0.4976158539298856,0.25,0.4913254118415589,2.4680635823736687,0.24467726332114936,0.26693449439711764,0.3286675583875694,ETTh1,test,120,120,test:120:2,0.5310918,0.5701093,MultiPatchFormer,3407,depth,1,4,256,256,96,MultiPatchFormer__ETTh1__h96__depth__d1__wg4__s3407
3,0.1434303228379139,0.37716821225316977,0.47106162421424014,0.875,0.8970305729745752,2.4680635823736687,0.24467726332114936,0.33055338643510795,0.6722359454319081,ETTh1,test,120,120,test:120:3,0.36265302,0.17883901,MultiPatchFormer,3407,depth,1,4,256,256,96,MultiPatchFormer__ETTh1__h96__depth__d1__wg4__s3407
4,0.13628196368724887,0.028834678593731497,0.4682934847617177,0.25,0.5755191900471714,2.4680635823736687,0.24467726332114936,0.21113670901423273,0.3567321511227736,ETTh1,test,120,120,test:120:4,0.3105082,0.13499399,MultiPatchFormer,3407,depth,1,4,256,256,96,MultiPatchFormer__ETTh1__h96__depth__d1__wg4__s3407
5,0.17564739921875772,0.08307044327281324,0.4929055733394354,0.25,0.6956077092075691,2.4680635823736687,0.24467726332114936,0.25054113861033545,0.3967616575095729,ETTh1,test,120,120,test:120:5,0.20334788,0.062047746,MultiPatchFormer,3407,depth,1,4,256,256,96,MultiPatchFormer__ETTh1__h96__depth__d1__wg4__s3407
6,0.7351505385812964,0.07509585584525338,0.11371248082323143,0.5,0.8040143529173063,2.4680635823736687,0.24467726332114936,0.30798629174992703,0.5162305387461519,ETTh1,test,120,120,test:120:6,0.13455468,0.026977139,MultiPatchFormer,3407,depth,1,4,256,256,96,MultiPatchFormer__ETTh1__h96__depth__d1__wg4__s3407
0,0.27829160439260325,0.010722848118955856,0.3284712986699696,0.25,0.4936318367839828,2.860406028057356,0.31006767082611325,0.20582858372717625,0.3512331692033654,ETTh1,test,144,144,test:144:0,0.58142525,0.5869787,MultiPatchFormer,3407,depth,1,4,256,256,96,MultiPatchFormer__ETTh1__h96__depth__d1__wg4__s3407
